date,code,open,high,low,close,volume
2020-04-01,sh.600600,41.1466741200,41.5786602000,40.1117074700,40.8136848500,6064829
2020-04-02,sh.600600,40.3546996400,40.5076947100,39.5627251600,40.5076947100,6805330
2020-04-03,sh.600600,40.3277005100,41.5606607800,40.3007013800,40.8316842700,7231079
2020-04-07,sh.600600,40.9486805000,42.2536384500,40.9486805000,41.8846503400,7303716
2020-04-08,sh.600600,41.6326584600,42.1006433800,41.0566770200,41.2276715100,4028261
2020-04-09,sh.600600,41.4976628100,42.1996401900,40.8676831100,42.0466451200,6292124
2020-04-10,sh.600600,42.0646445400,43.7655897300,41.8486515000,42.3436355500,10053722
2020-04-13,sh.600600,42.2356390300,43.9185848000,41.5786602000,43.1086109000,8330847
2020-04-14,sh.600600,43.0186138000,43.0546126400,42.1186428000,42.5236297500,6535753
2020-04-15,sh.600600,42.5146300400,42.8926178600,41.4976628100,41.5156622300,5609171
2020-04-16,sh.600600,41.3806665800,42.0736442500,40.4986950000,41.8936500500,5787289
2020-04-17,sh.600600,42.1096430900,42.5686283000,41.3266683200,41.8936500500,5541683
2020-04-20,sh.600600,42.1456419300,42.3076367100,41.3266683200,42.1996401900,5155496
2020-04-21,sh.600600,42.0016465700,42.1636413500,40.7686863000,41.1016755700,4125287
2020-04-22,sh.600600,40.8316842700,42.2356390300,40.6066915200,42.1096430900,5184194
2020-04-23,sh.600600,42.1096430900,42.9826149600,42.0466451200,42.5506288800,4920640
2020-04-24,sh.600600,42.6046271400,44.5215653700,42.2086399000,43.9365842200,12280425
2020-04-27,sh.600600,43.9455839300,45.0885471000,43.5135978500,44.6745604400,7940910
2020-04-28,sh.600600,44.5755636300,45.8985210000,43.9905824800,44.9985500000,8273175
2020-04-29,sh.600600,44.9085529000,45.9705186800,43.9905824800,45.9435195500,10153422
2020-04-30,sh.600600,47.3384746000,49.0484195000,46.1505128800,47.4734702500,14110123
2020-05-06,sh.600600,47.8604577800,49.7323974600,47.8604577800,49.7323974600,14577926
2020-05-07,sh.600600,49.8223945600,50.2813797700,48.7064305200,49.9483905000,8661669
2020-05-08,sh.600600,49.8403939800,51.2983470000,49.2284137000,49.8223945600,11177269
2020-05-11,sh.600600,49.3184108000,50.0923858600,49.1834151500,49.3094110900,6948794
